,Summoner Name,LP,Wins,Losses,Win Rate
0,GrandVice8,1334,103,363,22.1%
1,DeliciousMilkGG,1207,74,171,30.2%
2,Hiraino,1103,62,310,16.67%
3,Krmx,1090,80,284,21.98%
4,Silliest,1065,74,189,28.14%
5,Kiyoon,1047,102,384,20.99%
6,ItzYaBoyBeasty,923,89,418,17.55%
7,ttv KitingisHard,923,122,525,18.86%
8,Agon,909,91,312,22.58%
9,C9 Khroen,908,60,239,20.07%
10,AceofSpadesDAC,905,42,183,18.67%
11,A shadowy figure,897,58,273,17.52%
12,Twitch RayditzFN,879,110,538,16.98%
13,HiROKKKKJP,866,44,192,18.64%
14,C9 k3soju,861,110,402,21.48%
15,lilsteppy,847,46,171,21.2%
16,GG Milk,833,63,216,22.58%
17,Mister Lau,829,76,316,19.39%
18,BentoBot,817,63,318,16.54%
19,Stalins Son,809,50,257,16.29%
20,SleetTFT,798,75,259,22.46%
21,DLvx15299128725,781,57,213,21.11%
22,Fluffalogical,779,54,287,15.84%
23,DxnTFT,719,75,409,15.5%
24,enaek,690,69,215,24.3%
25,TheHentaiGod,690,63,321,16.41%
26,ttv influrrier,685,44,259,14.52%
27,Xeno,679,41,143,22.28%
28,Blaim,672,66,347,15.98%
29,SkySworn TFT,666,52,210,19.85%
30,VX15152242663,660,78,309,20.16%
31,wx qq258790278,654,60,215,21.82%
32,Mismatched Socks,651,56,243,18.73%
33,oFwano,631,59,333,15.05%
34,TheMagykal,616,64,282,18.5%
35,TTV Kenya1,590,91,505,15.27%
36,TwTv Rokuyo,586,61,326,15.76%
37,trade off,585,60,288,17.24%
38,bertasaurus,556,68,268,20.24%
39,IllllllIIIIlllll,529,38,156,19.59%
40,Twitch Josepao1o,528,56,98,36.36%
41,FinaldF,511,81,521,13.46%
42,Nice Mister Kien,501,42,225,15.73%
43,Sphinx,492,46,424,9.79%
44,TipFT,467,97,493,16.44%
45,Razorkill,442,55,241,18.58%
46,ayustat,439,53,447,10.6%
47,chickenwithboba,436,71,587,10.79%
48,Hafu,424,45,224,16.73%
49,Live for the Day,420,98,422,18.85%
50,CarrotWiz,415,36,175,17.06%
51,YesIWantSomeTea,411,37,129,22.29%
52,QwadGawd,405,34,156,17.89%
53,HakkaNeko,402,43,189,18.53%
54,TwoBiers,401,33,118,21.85%
55,Mean Mister Kien,395,39,188,17.18%
56,DoubleTree,393,111,426,20.67%
57,BlackBigBig,393,37,149,19.89%
58,DoYouWantSomeTea,376,38,230,14.18%
59,chitosechitose,371,48,256,15.79%
60,jªrred,357,44,300,12.79%
61,TFT Cayrub,357,77,406,15.94%
62,Kurumx,354,29,105,21.64%
63,FluffyHS,347,39,178,17.97%
64,GingerFanAccount,340,32,149,17.68%
65,paxytft,338,70,432,13.94%
66,inay,332,50,313,13.77%
67,Vorie,332,89,579,13.32%
68,OmniPie,328,57,319,15.16%
69,Pumpkin K1NG,328,25,111,18.38%
70,Aesah,325,80,306,20.73%
71,Keane tft,323,53,238,18.21%
72,FayeBae,320,49,270,15.36%
73,The Cxk,320,40,212,15.87%
74,JIGEJIUWO,318,47,190,19.83%
75,x BadlandzTV x,315,28,113,19.86%
76,Phantom TFT,313,50,309,13.93%
77,exkeepcallin,305,51,225,18.48%
78,DeadlyCO2,300,44,243,15.33%
79,El ChapoSticks,300,80,377,17.51%
80,Trivium,291,48,212,18.46%
81,WhySofaKing,282,34,177,16.11%
82,Humilis,281,21,115,15.44%
83,ScottyHottyTeemo,275,39,142,21.55%
84,Simple Plan,267,44,264,14.29%
85,Sinner Winclair,262,28,158,15.05%
86,chainpullz,261,22,111,16.54%
87,Sojin,247,71,329,17.75%
88,vx daodao46,245,100,342,22.62%
89,abladeomg,245,20,89,18.35%
90,kinda,245,61,350,14.84%
91,FIying Pikachu,240,32,195,14.1%
92,AstrogationLOR,239,71,290,19.67%
93,Doctor Nine,237,18,72,20.0%
94,Stompalittle,233,92,529,14.81%
95,JayGeBee,230,60,256,18.99%
96,Hyunjinese,226,33,135,19.64%
97,Andy Savage,223,58,312,15.68%
98,Yesterday Kurrt,223,23,117,16.43%
99,nhocBym,221,30,161,15.71%
100,Inphinit3,220,46,216,17.56%
101,TempestLife,220,27,119,18.49%
102,Tragoose,217,56,455,10.96%
103,YxmNA,214,18,93,16.22%
104,arf ARF AwOoÒwÓo,213,61,261,18.94%
105,        N o c a,213,64,306,17.3%
106,aante,213,74,549,11.88%
107,Rhythming,213,43,172,20.0%
108,VX miss81032069,212,56,305,15.51%
109,Tuesdayyy,207,49,225,17.88%
110,moms6res,206,68,449,13.15%
111,OrAnGe JuIc3,206,24,153,13.56%
112,eue,205,42,355,10.58%
113,Kenshin3225,204,52,311,14.33%
114,wzc,203,72,334,17.73%
115,DannySaysNo,202,57,331,14.69%
116,4 a r p tft,202,28,104,21.21%
117,hunterl565,202,42,299,12.32%
118,MoistDadKisses,201,34,139,19.65%
119,gnimhtyhR,200,30,78,27.78%
120,Azumo,198,60,328,15.46%
121,Ex Railgun,198,82,414,16.53%
122,Olly D,196,28,277,9.18%
123,Zeroqt,192,37,165,18.32%
124,wolves save me,191,80,470,14.55%
125,Forest Hermit,189,81,442,15.49%
126,Xu Keke,184,32,152,17.39%
127,ByeByeWorrld,184,70,359,16.32%
128,Naturesbf,183,32,137,18.93%
129,Obbu,182,26,156,14.29%
130,Jangsterang,181,50,242,17.12%
131,enchaB,181,23,89,20.54%
132,ched Q2222888333,180,75,394,15.99%
133,Nhân Tâm,180,31,174,15.12%
134,Alleji,179,23,115,16.67%
135,Kyouko Hori,179,54,236,18.62%
136,ImDatHigh,178,20,46,30.3%
137,SelectMapleNA,178,29,155,15.76%
138,Waakzaamheid,176,44,184,19.3%
139,sb mouse,176,64,403,13.7%
140,Vikaros,176,35,205,14.58%
141,Sunco,175,22,111,16.54%
142,Catybear,175,38,217,14.9%
143,Dr Roti,175,46,222,17.16%
144,Souless,174,31,92,25.2%
145,TFTEACHERºCOM,174,39,192,16.88%
146,huya yueyue,172,42,242,14.79%
147,kpopfan7,172,19,81,19.0%
148,Little Yue Liang,171,23,95,19.49%
149,Happyhog10,171,85,532,13.78%
150,Minute of News,171,34,221,13.33%
151,Me Predator,169,29,98,22.83%
152,Jqua,166,36,205,14.94%
153,Go Pikáchù,164,89,397,18.31%
154,Kovanel,164,46,221,17.23%
155,Flashbâng,164,44,452,8.87%
156,BlakeAustin,164,27,117,18.75%
157,best Taro NA,163,38,187,16.89%
158,Madelynn,162,35,186,15.84%
159,TTV DonKadabra,162,47,247,15.99%
160,F1 Flow,161,23,104,18.11%
161,Vitamnss,159,27,121,18.24%
162,lnaban,157,55,262,17.35%
163,vaIsartan,156,28,166,14.43%
164,Fanyeah,156,53,162,24.65%
165,atownrocky,156,34,149,18.58%
166,the OCE special,155,37,209,15.04%
167,Jeff Young,155,27,196,12.11%
168,Ralliartt,154,84,406,17.14%
169,themackerel,153,44,310,12.43%
170,Curbob,153,42,249,14.43%
171,zebroe,153,57,370,13.35%
172,Scoped32,153,34,163,17.26%
173,flanne,152,32,159,16.75%
174,Dairon TFT,152,26,90,22.41%
175,a wittle penguin,151,30,124,19.48%
176,Happiboy,150,47,303,13.43%
177,WANG SHUO ZHE,150,39,158,19.8%
178,Lion,150,36,200,15.25%
179,WakaWakaWaka,149,24,106,18.46%
180,WafWafWaffle,148,30,126,19.23%
181,yoohyeon fanclub,148,35,119,22.73%
182,Ecym tw,147,23,128,15.23%
183,George Brown,146,40,361,9.98%
184,Wonseok,146,31,139,18.24%
185,Youaresopretty,145,41,197,17.23%
186,ajmonsta,145,46,189,19.57%
187,Dekacchan,144,45,220,16.98%
188,Mikuya,143,48,256,15.79%
189,blackwhited,141,25,91,21.55%
190,suddenly heart,140,45,199,18.44%
191,Dios12138,131,33,202,14.04%
192,influrrier,129,74,397,15.71%
193,Gurt Games,125,31,203,13.25%
194,J or C,114,31,104,22.96%
195,Marquez,62,22,97,18.49%
196,Turn1Delver,48,60,367,14.05%
